old_path	new_path	byte_size	sha256	content_frozen	role	tracked
handbook/CardioSentinel_Research_Execution_Handbook_v1.3.md	docs/handbook/CardioSentinel_Research_Execution_Handbook_v1.3.md	72420	f06d4babed0a857db26ff629b4e7d4bfb5b171a56b651354f9e8a7f3fe2990ed	Y	FROZEN_HANDBOOK	Y
handbook/CardioSentinel_Research_Execution_Handbook_v1.4.docx	docs/handbook/CardioSentinel_Research_Execution_Handbook_v1.4.docx	84921	fe12485d84623560242c7ccd62e28030faccfee1b754b10509c4b2cdcd8759fa	Y	FROZEN_HANDBOOK	Y
handbook/CardioSentinel_Research_Execution_Handbook_v1.4.md	docs/handbook/CardioSentinel_Research_Execution_Handbook_v1.4.md	113711	f3ab449c5fb532da9b47141d7de9090bdfa32b0c2f16dcaed26f5184e96b594c	Y	FROZEN_HANDBOOK	Y
handbook/CardioSentinel_Research_Execution_Handbook_v1.5.docx	docs/handbook/CardioSentinel_Research_Execution_Handbook_v1.5.docx	52018	c78ff9f423470ee75ad0b9867d543c2e5d1317742624d815a4b30e9cb7d70132	Y	FROZEN_HANDBOOK	Y
handbook/CardioSentinel_Research_Execution_Handbook_v1.5.md	docs/handbook/CardioSentinel_Research_Execution_Handbook_v1.5.md	27550	78780c4033edfbc8260d6fa280723e0d074e5af841154e81832ebc8a06f9c5fc	Y	FROZEN_HANDBOOK	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG10.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG10.md	16221	59e832ffa382a2efb549dbede730b8a88462e324c3276a337f99cf4af970120d	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG11.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG11.md	20207	ff28c85a1aed43864b5962d7e365051a07c7dbca88a707a9aa5c96797615b688	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG12.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG12.md	20464	b202cd1ff4ff4a8bd4c3a10adde682bb657afc396ce479488df0a9c81fb19a26	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG13.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG13.md	16509	77d077b6499095cf00811b93eb6de3ff9b08945da274224741303b3f9d140fe8	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG14.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG14.md	19142	0f91e611c119513617e1f5cca7707b32eef27d39cf7883cd5b5d0d065dee7e36	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG15.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG15.md	20425	f8780960a02e99b83847d05d1a7d7e9dd9072ff15986b60288a5d61b0c90e5df	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG16.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG16.md	12375	6332ad1a144115654defa2ae048c625ea4e5f967b9ca453c9fc01904de0420fd	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG17.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG17.md	16167	c87c58ef0d1688c719944964990844eef64338eec739920ca7e7e855d77d465f	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG18.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG18.md	13938	30ac4eb6ef499854e6636bdbf7ac33ee778053c9cae294ffeba26d0993bda500	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG19.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG19.md	21744	ef4db79fe23b6b3431a79c1637a793b701ed84234e8fcbd092e60b46eddbc4c8	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG20.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG20.md	8792	62196571272fb4197d7f36a7b4a78adacc96d0d61a3f1d21c5edbee284a22a16	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG21.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG21.md	13322	874e36035aaf1e99d5c58f3dea5d18933f14efbeb5eba038d9173b9ddd48d6a9	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG22.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG22.md	13542	ea796297facfbc734a74ae9d063ee5ce1afbbee75c63cd39fe76d96279853adb	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG23.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG23.md	11977	5905f7d6af17a4f218fda40238fcfa0b03dc8c5f969badeeb9b2f75860f7fa3a	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG24.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG24.md	10500	a02b83a39fbfd369cb5ebc12f7c4ff6fed84a7756426b4edaf638b6e9d805ee3	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG3.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG3.md	9665	3eb96b57e0d564e4739744c41ddf3422f4d941af3bd281d434e81b387ce790e6	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG4.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG4.md	14079	e5d9733ee9b7e9089d26579072d363929d9518ca58ff2bbcc2423950a60f22c9	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG5.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG5.md	14688	a741614f6c9dcb4e297ca940614abebe6af90e58f844338c3ad9a93a18a54374	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG6.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG6.md	20216	1b9109436c1f8bf6fb9c5827340a527916f637ad888647499e01ca96a9d9c24c	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG7.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG7.md	16309	bb9253183a461b2d81088d768ce6e10faad697cccb0321f361398f73c8890675	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG8.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG8.md	19802	409d0477d7ee665345453a82288f02b93e3a5645a08bf99a66c96635a0a684a6	Y	HISTORICAL_HANDOFF	Y
handoffs/CARDIOSENTINEL_HANDOFF_ECG9.md	docs/handoffs/CARDIOSENTINEL_HANDOFF_ECG9.md	20945	91266b7e63af2d74410a908e301580d7e6af2ba2a76b3390ff6c1c2b7310b820	Y	HISTORICAL_HANDOFF	Y
handoffs/README.md	docs/handoffs/README.md	4553	489078116f7411eef4142cf7b6805417b0a7d511c8e0a254b387df3adae866d5	N	LIVE_HANDOFF_INDEX	Y
